arrondissement,population,year,source
Hampstead,6973,2016,StatCan 2016 Census profiles
Mont-Royal,20276,2016,StatCan 2016 Census profiles
Dorval,18980,2016,StatCan 2016 Census profiles
L'Île-Dorval,5,2016,StatCan 2016 Census profiles
Pointe-Claire,31380,2016,StatCan 2016 Census profiles
Kirkland,20151,2016,StatCan 2016 Census profiles
Beaconsfield,19324,2016,StatCan 2016 Census profiles
Baie-D'Urfé,3823,2016,StatCan 2016 Census profiles
Sainte-Anne-de-Bellevue,4958,2016,StatCan 2016 Census profiles
Senneville,921,2016,StatCan 2016 Census profiles
Dollard-Des Ormeaux,48899,2016,StatCan 2016 Census profiles
Ahuntsic-Cartierville,134245,2016,Ville de Montréal
Anjou,42796,2016,Ville de Montréal
Côte-des-Neiges-Notre-Dame-de-Grâce,166520,2016,Ville de Montréal
Lachine,44489,2016,Ville de Montréal
LaSalle,76853,2016,Ville de Montréal
Le Plateau-Mont-Royal,104000,2016,Ville de Montréal
Le Sud-Ouest,78151,2016,Ville de Montréal
L'Île-Bizard-Sainte-Geneviève,18413,2016,Ville de Montréal
Mercier-Hochelaga-Maisonneuve,136024,2016,Ville de Montréal
Montréal-Nord,84234,2016,Ville de Montréal
Outremont,23954,2016,Ville de Montréal
Pierrefonds-Roxboro,69297,2016,Ville de Montréal
Rivière-des-Prairies-Pointe-aux-Trembles,106743,2016,Ville de Montréal
Rosemont-La Petite-Patrie,139590,2016,Ville de Montréal
Saint-Laurent,98828,2016,Ville de Montréal
Saint-Léonard,78305,2016,Ville de Montréal
Verdun,69229,2016,Ville de Montréal
Ville-Marie,89170,2016,Ville de Montréal
Villeray-Saint-Michel-Parc-Extension,143853,2016,Ville de Montréal
Montréal-Est,4394,2021,StatCan 2021 Census profiles
Westmount,19658,2021,StatCan 2021 Census profiles
Montréal-Ouest,5115,2021,StatCan 2021 Census profiles
Côte-Saint-Luc,34504,2021,StatCan 2021 Census profiles
Hampstead,7037,2021,StatCan 2021 Census profiles
Mont-Royal,20953,2021,StatCan 2021 Census profiles
Dorval,19302,2021,StatCan 2021 Census profiles
L'Île-Dorval,30,2021,StatCan 2021 Census profiles
Pointe-Claire,33488,2021,StatCan 2021 Census profiles
Kirkland,19413,2021,StatCan 2021 Census profiles
Beaconsfield,19277,2021,StatCan 2021 Census profiles
Baie-D'Urfé,3764,2021,StatCan 2021 Census profiles
Sainte-Anne-de-Bellevue,5027,2021,StatCan 2021 Census profiles
Senneville,951,2021,StatCan 2021 Census profiles
Dollard-Des Ormeaux,48403,2021,StatCan 2021 Census profiles
Ahuntsic-Cartierville,135336,2021,Ville de Montréal
Anjou,43243,2021,Ville de Montréal
Côte-des-Neiges-Notre-Dame-de-Grâce,170583,2021,Ville de Montréal
Lachine,46428,2021,Ville de Montréal
LaSalle,82235,2021,Ville de Montréal
Le Plateau-Mont-Royal,105813,2021,Ville de Montréal
Le Sud-Ouest,84553,2021,Ville de Montréal
L'Île-Bizard-Sainte-Geneviève,18885,2021,Ville de Montréal
Mercier-Hochelaga-Maisonneuve,140627,2021,Ville de Montréal
Montréal-Nord,88471,2021,Ville de Montréal
Outremont,24629,2021,Ville de Montréal
Pierrefonds-Roxboro,70382,2021,Ville de Montréal
Rivière-des-Prairies-Pointe-aux-Trembles,107941,2021,Ville de Montréal
Rosemont-La Petite-Patrie,141813,2021,Ville de Montréal
Saint-Laurent,102104,2021,Ville de Montréal
Saint-Léonard,79495,2021,Ville de Montréal
Verdun,70377,2021,Ville de Montréal
Ville-Marie,104944,2021,Ville de Montréal
Villeray-Saint-Michel-Parc-Extension,145090,2021,Ville de Montréal
